,Suburb,Type,Landsize,BuildingArea,Rooms,Bathroom,Bedroom2,YearBuilt,Price,Postcode,zipcode,price,weekly_price,monthly_price
0,Abbotsford,h,202.0,,2,1.0,2.0,,1480000.0,3067.0,3067.0,130.62403100775194,107.8953488372093,262.7829457364341
1,Abbotsford,h,156.0,79.0,2,1.0,2.0,1900.0,1035000.0,3067.0,3067.0,130.62403100775194,107.8953488372093,262.7829457364341
2,Abbotsford,h,134.0,150.0,3,2.0,3.0,1900.0,1465000.0,3067.0,3067.0,130.62403100775194,107.8953488372093,262.7829457364341
3,Abbotsford,h,94.0,,3,2.0,3.0,,850000.0,3067.0,3067.0,130.62403100775194,107.8953488372093,262.7829457364341
4,Abbotsford,h,120.0,142.0,4,1.0,3.0,2014.0,1600000.0,3067.0,3067.0,130.62403100775194,107.8953488372093,262.7829457364341
5,Abbotsford,h,181.0,,2,1.0,2.0,,941000.0,3067.0,3067.0,130.62403100775194,107.8953488372093,262.7829457364341
6,Abbotsford,h,245.0,210.0,3,2.0,4.0,1910.0,1876000.0,3067.0,3067.0,130.62403100775194,107.8953488372093,262.7829457364341
7,Abbotsford,h,256.0,107.0,2,1.0,2.0,1890.0,1636000.0,3067.0,3067.0,130.62403100775194,107.8953488372093,262.7829457364341
8,Abbotsford,u,0.0,,1,1.0,1.0,,300000.0,3067.0,3067.0,130.62403100775194,107.8953488372093,262.7829457364341
9,Abbotsford,h,220.0,75.0,2,1.0,3.0,1900.0,1097000.0,3067.0,3067.0,130.62403100775194,107.8953488372093,262.7829457364341
10,Abbotsford,u,0.0,,2,2.0,2.0,,700000.0,3067.0,3067.0,130.62403100775194,107.8953488372093,262.7829457364341
11,Abbotsford,h,214.0,190.0,3,2.0,3.0,2005.0,1350000.0,3067.0,3067.0,130.62403100775194,107.8953488372093,262.7829457364341
12,Abbotsford,u,0.0,94.0,2,2.0,2.0,2009.0,750000.0,3067.0,3067.0,130.62403100775194,107.8953488372093,262.7829457364341
13,Abbotsford,h,195.0,,2,1.0,2.0,,1172500.0,3067.0,3067.0,130.62403100775194,107.8953488372093,262.7829457364341
14,Abbotsford,u,0.0,,1,1.0,1.0,,441000.0,3067.0,3067.0,130.62403100775194,107.8953488372093,262.7829457364341
15,Abbotsford,h,238.0,97.0,2,1.0,2.0,1890.0,1310000.0,3067.0,3067.0,130.62403100775194,107.8953488372093,262.7829457364341
16,Abbotsford,h,113.0,110.0,3,2.0,3.0,1880.0,1200000.0,3067.0,3067.0,130.62403100775194,107.8953488372093,262.7829457364341
17,Abbotsford,h,138.0,105.0,3,1.0,2.0,1890.0,1176500.0,3067.0,3067.0,130.62403100775194,107.8953488372093,262.7829457364341
18,Abbotsford,h,183.0,,3,1.0,3.0,,955000.0,3067.0,3067.0,130.62403100775194,107.8953488372093,262.7829457364341
19,Abbotsford,h,150.0,73.0,2,1.0,2.0,1985.0,890000.0,3067.0,3067.0,130.62403100775194,107.8953488372093,262.7829457364341
20,Abbotsford,h,780.0,135.0,4,2.0,4.0,1900.0,1330000.0,3067.0,3067.0,130.62403100775194,107.8953488372093,262.7829457364341
21,Abbotsford,t,0.0,,3,2.0,3.0,2010.0,900000.0,3067.0,3067.0,130.62403100775194,107.8953488372093,262.7829457364341
22,Abbotsford,u,4290.0,27.0,3,2.0,3.0,,1090000.0,3067.0,3067.0,130.62403100775194,107.8953488372093,262.7829457364341
23,Abbotsford,u,0.0,60.0,2,1.0,2.0,1970.0,500000.0,3067.0,3067.0,130.62403100775194,107.8953488372093,262.7829457364341
24,Abbotsford,h,124.0,135.0,2,2.0,2.0,2013.0,1100000.0,3067.0,3067.0,130.62403100775194,107.8953488372093,262.7829457364341
25,Abbotsford,h,147.0,85.0,2,1.0,2.0,1900.0,1315000.0,3067.0,3067.0,130.62403100775194,107.8953488372093,262.7829457364341
26,Abbotsford,u,0.0,,1,1.0,1.0,,426000.0,3067.0,3067.0,130.62403100775194,107.8953488372093,262.7829457364341
27,Abbotsford,h,166.0,174.0,3,3.0,3.0,2012.0,1447500.0,3067.0,3067.0,130.62403100775194,107.8953488372093,262.7829457364341
28,Abbotsford,u,0.0,50.0,1,1.0,1.0,,457000.0,3067.0,3067.0,130.62403100775194,107.8953488372093,262.7829457364341
29,Abbotsford,h,98.0,128.0,2,2.0,2.0,1920.0,1135000.0,3067.0,3067.0,130.62403100775194,107.8953488372093,262.7829457364341
30,Abbotsford,h,0.0,,4,3.0,4.0,,1542000.0,3067.0,3067.0,130.62403100775194,107.8953488372093,262.7829457364341
31,Abbotsford,h,147.0,18.0,3,2.0,3.0,,1290000.0,3067.0,3067.0,130.62403100775194,107.8953488372093,262.7829457364341
32,Abbotsford,h,168.0,124.0,3,1.0,3.0,1950.0,1290000.0,3067.0,3067.0,130.62403100775194,107.8953488372093,262.7829457364341
33,Abbotsford,u,0.0,50.0,1,1.0,1.0,2013.0,470000.0,3067.0,3067.0,130.62403100775194,107.8953488372093,262.7829457364341
34,Abbotsford,h,162.0,91.0,2,1.0,2.0,1900.0,1180000.0,3067.0,3067.0,130.62403100775194,107.8953488372093,262.7829457364341
35,Abbotsford,h,120.0,128.0,3,2.0,3.0,1998.0,1195000.0,3067.0,3067.0,130.62403100775194,107.8953488372093,262.7829457364341
36,Abbotsford,h,182.0,82.0,2,1.0,2.0,1900.0,1012500.0,3067.0,3067.0,130.62403100775194,107.8953488372093,262.7829457364341
37,Abbotsford,h,172.0,81.0,2,1.0,2.0,1930.0,1030000.0,3067.0,3067.0,130.62403100775194,107.8953488372093,262.7829457364341
38,Airport West,t,303.0,225.0,3,2.0,3.0,2016.0,840000.0,3042.0,,,,
39,Airport West,h,0.0,145.0,3,2.0,3.0,1965.0,730000.0,3042.0,,,,
40,Airport West,h,0.0,145.0,3,2.0,3.0,1965.0,770000.0,3042.0,,,,
41,Airport West,h,272.0,84.0,2,1.0,2.0,1950.0,603000.0,3042.0,,,,
42,Airport West,t,239.0,134.0,3,2.0,3.0,2009.0,700000.0,3042.0,,,,
43,Airport West,h,290.0,116.0,3,1.0,2.0,1980.0,600000.0,3042.0,,,,
44,Airport West,u,168.0,86.0,2,1.0,2.0,2011.0,500000.0,3042.0,,,,
45,Airport West,h,620.0,,3,1.0,2.0,,720000.0,3042.0,,,,
